2026-09-07 17:39:48,159 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 16:56:49,541 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 8s; HTTP requests never call RFC directly.
2026-09-08 16:56:49,609 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 16:56:49,636 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 17:02:01,087 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 17:02:01,092 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 8s; HTTP requests never call RFC directly.
2026-09-08 17:02:01,157 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 17:02:01,188 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 17:50:43,191 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 17:50:43,211 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 8s; HTTP requests never call RFC directly.
2026-09-08 17:50:43,261 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 17:50:43,288 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 17:56:01,735 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 17:56:01,741 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 8s; HTTP requests never call RFC directly.
2026-09-08 17:56:01,823 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 17:56:01,913 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 17:56:45,995 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 17:56:46,002 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 8s; HTTP requests never call RFC directly.
2026-09-08 17:56:46,128 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 17:56:46,146 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 22:13:09,045 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 22:13:09,068 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 8s; HTTP requests never call RFC directly.
2026-09-08 22:13:09,140 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 22:13:09,173 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 22:13:09,245 | INFO     | dashboard.app | Scheduler: profile 'prd-quick' is due (PRD, 4 T-code(s), -> ['whatsapp']).
2026-09-08 22:32:23,868 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 22:32:23,887 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 8s; HTTP requests never call RFC directly.
2026-09-08 22:32:23,981 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 22:32:24,024 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 09:56:45,345 | INFO     | dashboard.app | Scheduler: profile 'prd-quick' is due (PRD, 4 T-code(s), -> ['whatsapp']).
2026-09-09 10:21:33,039 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 10:21:33,292 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 8s; HTTP requests never call RFC directly.
2026-09-09 10:21:33,608 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 10:21:33,694 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 10:29:09,314 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 10:29:09,421 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 8s; HTTP requests never call RFC directly.
2026-09-09 10:29:09,426 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 10:29:09,534 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 11:10:10,592 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 11:10:10,605 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 11:10:10,677 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 11:10:10,712 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 11:11:37,199 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 3 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 11:13:25,038 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 2 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 11:21:57,467 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 11:21:57,471 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 11:21:57,538 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 11:21:57,571 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 11:23:10,765 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 2 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 11:24:25,826 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 2 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 11:26:22,387 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 11:52:17,657 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 11:56:55,920 | INFO     | dashboard.app | Scheduler: profile 'prd-quick' is due (PRD, 4 T-code(s), -> ['whatsapp']).
2026-09-09 12:00:16,986 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 2 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:08:48,688 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 2 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:12:50,926 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 12:12:50,933 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 12:12:51,055 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 12:12:51,082 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 12:13:44,034 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 2 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:17:42,797 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:18:24,738 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 12:18:24,762 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 12:18:24,834 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 12:18:24,867 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 12:19:57,557 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 3 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:21:09,260 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 2 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:23:20,848 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:27:35,074 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 12:27:35,079 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 12:27:35,145 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 12:27:35,231 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 12:29:08,244 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 3 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:30:13,012 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:32:14,433 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:36:28,700 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:39:37,693 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 12:39:37,698 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 12:39:37,798 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 12:39:37,821 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 12:41:14,238 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 3 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:43:20,129 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:45:42,341 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:48:31,643 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:51:10,668 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:53:04,168 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:57:30,746 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:58:21,332 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 3 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 12:59:24,057 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 4 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 13:00:33,111 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 3 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 13:06:03,164 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 2 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 13:08:05,358 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 13:09:52,535 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 13:15:55,439 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 13:53:37,061 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 2 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 13:55:03,662 | WARNING  | dashboard.app | Live refresh pass failed: RuntimeError: cannot schedule new futures after interpreter shutdown
2026-09-09 13:55:03,726 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 13:55:03,828 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 13:55:03,994 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 13:55:04,117 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 13:56:23,764 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 2 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 13:57:07,945 | INFO     | dashboard.app | Scheduler: profile 'prd-quick' is due (PRD, 4 T-code(s), -> ['whatsapp']).
2026-09-09 13:58:34,220 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 13:59:15,879 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 13:59:15,961 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 13:59:16,114 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 13:59:16,209 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 14:00:34,106 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 4 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 14:01:27,257 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 3 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 14:03:33,344 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 2 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 14:05:31,326 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 14:05:31,429 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 14:05:31,461 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 14:05:31,639 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 14:07:37,279 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 3 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 14:10:30,632 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 3 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 14:12:39,852 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 3 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 14:12:46,827 | WARNING  | dashboard.app | Live refresh pass failed: RuntimeError: cannot schedule new futures after interpreter shutdown
2026-09-09 14:15:19,504 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 14:15:19,517 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 14:15:19,681 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 14:15:19,749 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 15:01:50,127 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 15:01:50,134 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 15:01:50,251 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 15:01:50,317 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 15:03:47,567 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 15:03:47,598 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 15:03:47,672 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 15:03:47,762 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 15:10:28,034 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 15:10:28,040 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 15:10:28,109 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 15:10:28,131 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 15:12:50,365 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 15:12:50,371 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 15:12:50,424 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 15:12:50,486 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 15:14:33,314 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 15:14:33,319 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 15:14:33,368 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 15:14:33,391 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 15:22:26,207 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 15:22:26,208 | INFO     | dashboard.app | Live refresher is ON-DEMAND -- systems are read only when 'Read live' is clicked (/api/live/refresh). Set IBO_LIVE_AUTO_REFRESH=1 for the old timer-driven mode.
